trip_id,service_id,route_id,trip_headsign,direction_id,shape_id
4503599631536362,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503603922673401,4503599631512310,11821949021891635,Colomiers Gare SNCF COLOMIERS,0,4503603922673401
4503603922673402,4503599631512310,11821949021891635,Colomiers Gare SNCF COLOMIERS,0,4503603922673401
4503603922673403,4503599631512310,11821949021891635,Colomiers Gare SNCF COLOMIERS,0,4503603922673401
4503603922673404,4503599631512310,11821949021891635,Colomiers Gare SNCF COLOMIERS,0,4503603922673401
4503603922673405,4503599631512310,11821949021891635,Colomiers Gare SNCF COLOMIERS,0,4503603922673401
4503603922673406,4503599631512310,11821949021891635,Colomiers Gare SNCF COLOMIERS,0,4503603922673401
4503603922673407,4503599631512310,11821949021891635,Colomiers Gare SNCF COLOMIERS,0,4503603922673401
4503603922673408,4503599631512310,11821949021891635,Colomiers Gare SNCF COLOMIERS,0,4503603922673401
4503603922673413,4503599631512310,11821949021891635,Brax le Château BRAX,1,4503603922673413
4503603922673414,4503599631512310,11821949021891635,Brax le Château BRAX,1,4503603922673413
4503603922673415,4503599631512310,11821949021891635,Brax le Château BRAX,1,4503603922673413
4503603922673416,4503599631512310,11821949021891635,Brax le Château BRAX,1,4503603922673413
4503603922673417,4503599631512310,11821949021891635,Brax le Château BRAX,1,4503603922673413
4503603922673418,4503599631512310,11821949021891635,Brax le Château BRAX,1,4503603922673413
4503603922673419,4503599631512310,11821949021891635,Brax le Château BRAX,1,4503603922673413
4503603922673420,4503599631512310,11821949021891635,Brax le Château BRAX,1,4503603922673413
4503603923740912,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740913,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740914,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740915,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740916,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740917,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740918,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740919,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740920,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740921,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
4503603923740922,4503603923740912,11821949023742784,Montjoie RAMONVILLE-SAINT-AGNE,1,4503599631529079
